name,last_name,email,password,birthday
Олекса,Стельмах,makarirvanets@example.net,5!5OS44i3R,1965-01-14
Павло,Годунок,orkhypzasiadko@example.net,_#a+2ReuV_,1996-09-26
Віктор,Скорик,babiidemyd@example.net,6%qBij%P(3,2005-01-14
Юстина,Ляшко,irak@example.com,@6dRzx6X_b,1965-02-18
Пилип,Цісик,hrechkohordii@example.net,^Gk%u9FjPV,1999-02-03
Геннадій,Юрчишин,parmen33@example.net,58pQgsJ+^b,1979-03-12
Ярослава,Мазур,roksolana64@example.com,l1ME$zjW_5,1974-10-31
Данна,Прокопович,odarka43@example.org,#sj0hI1nG$,1979-04-26
Емілія,Тичина,okhrimdanchenko@example.com,NAKv9CMsC+,1971-07-22
Мирон,Цибуленко,charnyshamvrosii@example.net,+0ZkpNTORk,1983-06-03
Онисим,Їжак,pavlo36@example.net,uU4sAIZds_,1975-08-08
Роксолана,Малик,edyta00@example.org,@49N1xEt@a,1993-09-08
